0,Chamadas da Polícia,"Chamadas da Polícia
",http://dados.fortaleza.ce.gov.br/dataset/8e995f96-423c-41f3-ba33-9ffe94aec2a8/resource/de4e876a-ee24-4d6e-9722-db9dc454bbe6/download/policecalls.csv
0,Chamadas da Polícia,"Chamadas da Polícia
",http://dados.fortaleza.ce.gov.br/dataset/8e995f96-423c-41f3-ba33-9ffe94aec2a8/resource/de4e876a-ee24-4d6e-9722-db9dc454bbe6/download/policecalls.csv
0,"Dados de Mobilidade de Ônibus-11-03-2015(gps,paradas,validação)","O arquivo contem dados de mobilidade de ônibus do período 11-03-2015, contendo dados de GPS,paradas e validação. 
",http://dados.fortaleza.ce.gov.br/dataset/c0caac1b-fbcd-4eb7-8d4e-86e92b146139/resource/42aa40dd-0228-4d2a-94f9-c2d55fc68878/download/mobilitydataset.zip
1,"Dados de Mobilidade de Ônibus-11-03-2015(gps,paradas,validação)","O arquivo contem dados de mobilidade de ônibus do período 11-03-2015, contendo dados de GPS,paradas e validação. 
",http://dados.fortaleza.ce.gov.br/dataset/c0caac1b-fbcd-4eb7-8d4e-86e92b146139/resource/b7c35761-bea4-4988-a8cc-e4deee48ffed/download/busstops.csv
2,"Dados de Mobilidade de Ônibus-11-03-2015(gps,paradas,validação)","O arquivo contem dados de mobilidade de ônibus do período 11-03-2015, contendo dados de GPS,paradas e validação. 
",http://dados.fortaleza.ce.gov.br/dataset/c0caac1b-fbcd-4eb7-8d4e-86e92b146139/resource/f2243d05-f484-426b-90dc-21c071d79095/download/gps.csv
3,"Dados de Mobilidade de Ônibus-11-03-2015(gps,paradas,validação)","O arquivo contem dados de mobilidade de ônibus do período 11-03-2015, contendo dados de GPS,paradas e validação. 
",http://dados.fortaleza.ce.gov.br/dataset/c0caac1b-fbcd-4eb7-8d4e-86e92b146139/resource/e1a2d250-64ff-4136-b791-0cb61905ed72/download/validation.csv
0,Realizações da Prefeitura Municipal entre 2012 e 2016,"Obras realizadas pela Prefeitura Municipal no período de 2012 a 2016.
","http://dados.fortaleza.ce.gov.br, dados.fortaleza.ce.gov.br/dataset/47419c08-115e-4e7e-aeff-6b8025ef9c11/resource/edd7eef1-82cf-493e-9b83-bdced601c289/download/dadosrealizacoes.xls"
0,Parques e Praças Urbanizados de Fortaleza,"KML demonstrativo com localização e denominação das Praças e Parques no Município de Fortaleza. (aviso: Arquivo dinâmico, podem ocorrer mudanças de nomenclatura ou urbanização...",http://dados.fortaleza.ce.gov.br/dataset/3a719485-af31-46ac-bc1d-7e6ee1bcd4bb/resource/6397999f-b105-4098-aba3-53757b94a430/download/pracaseparquespmf.kmz
0,ZEPO,"Arquivo disponibilizado pela Seuma sobre Zona Especial do Projeto da Orla
",http://dados.fortaleza.ce.gov.br/dataset/02cf5564-7574-4ce5-9eb3-4b35b22921dc/resource/1d2079ad-7011-4a19-b4ce-813f818d90e1/download/zepo.csv
1,ZEPO,"Arquivo disponibilizado pela Seuma sobre Zona Especial do Projeto da Orla
",http://dados.fortaleza.ce.gov.br/dataset/02cf5564-7574-4ce5-9eb3-4b35b22921dc/resource/15016a47-912b-4048-8301-22383946bfd4/download/zepo.json
